,activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,path
10,CMIP,CCCma,CanESM5,piControl,r1i1p1f1,Omon,no3,gn,/glade/collections/cmip/CMIP6/CMIP/CCCma/CanESM5/piControl/r1i1p1f1/Omon/no3/gn/v20190429/no3/no3_Omon_CanESM5_piControl_r1i1p1f1_gn_604101-605012.nc
11,CMIP,NCAR,CESM2-WACCM,abrupt-4xCO2,r1i1p1f1,Eday,loaddust,gn,/glade/collections/cmip/CMIP6/CMIP/NCAR/CESM2-WACCM/abrupt-4xCO2/r1i1p1f1/Eday/loaddust/gn/v20190425/loaddust_Eday_CESM2-WACCM_abrupt-4xCO2_r1i1p1f1_gn_00700101-00791231.nc
12,CMIP,CNRM-CERFACS,CNRM-CM6-1,historical,r2i1p1f2,6hrPlev,hus,gr,/glade/collections/cmip/CMIP6/CMIP/CNRM-CERFACS/CNRM-CM6-1/historical/r2i1p1f2/6hrPlev/hus/gr/v20181126/hus/hus_6hrPlev_CNRM-CM6-1_historical_r2i1p1f2_gr_196001010300-196912312100.nc
13,CMIP,NCAR,CESM2-WACCM,historical,r3i1p1f1,Eday,loadso4,gn,/glade/collections/cmip/CMIP6/CMIP/NCAR/CESM2-WACCM/historical/r3i1p1f1/Eday/loadso4/gn/v20190227/loadso4_Eday_CESM2-WACCM_historical_r3i1p1f1_gn_19300101-19391231.nc
14,CMIP,AWI,AWI-CM-1-1-MR,piControl,r1i1p1f1,Amon,hur,gn,/glade/collections/cmip/CMIP6/CMIP/AWI/AWI-CM-1-1-MR/piControl/r1i1p1f1/Amon/hur/gn/v20181218/hur/hur_Amon_AWI-CM-1-1-MR_piControl_r1i1p1f1_gn_280401-280412.nc
15,CMIP,MOHC,UKESM1-0-LL,abrupt-4xCO2,r1i1p1f2,AERmon,mmroa,gn,/glade/collections/cmip/CMIP6/CMIP/MOHC/UKESM1-0-LL/abrupt-4xCO2/r1i1p1f2/AERmon/mmroa/gn/v20190406/mmroa/mmroa_AERmon_UKESM1-0-LL_abrupt-4xCO2_r1i1p1f2_gn_185001-189912.nc
16,CMIP,EC-Earth-Consortium,EC-Earth3,historical,r24i1p1f1,Omon,soga,gn,/glade/collections/cmip/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/historical/r24i1p1f1/Omon/soga/gn/v20190411/soga/soga_Omon_EC-Earth3_historical_r24i1p1f1_gn_186701-186712.nc
17,CMIP,EC-Earth-Consortium,EC-Earth3,historical,r11i1p1f1,Omon,ficeberg,gn,/glade/collections/cmip/CMIP6/CMIP/EC-Earth-Consortium/EC-Earth3/historical/r11i1p1f1/Omon/ficeberg/gn/v20190710/ficeberg/ficeberg_Omon_EC-Earth3_historical_r11i1p1f1_gn_189701-189712.nc
18,CMIP,NOAA-GFDL,GFDL-CM4,piControl,r1i1p1f1,Omon,sob,gn,/glade/collections/cmip/CMIP6/CMIP/NOAA-GFDL/GFDL-CM4/piControl/r1i1p1f1/Omon/sob/gn/v20180701/sob/sob_Omon_GFDL-CM4_piControl_r1i1p1f1_gn_039101-041012.nc
19,CMIP,NASA-GISS,GISS-E2-1-G,amip,r5i1p3f1,Emon,sconcss,gn,/glade/collections/cmip/CMIP6/CMIP/NASA-GISS/GISS-E2-1-G/amip/r5i1p3f1/Emon/sconcss/gn/v20190522/sconcss/sconcss_Emon_GISS-E2-1-G_amip_r5i1p3f1_gn_185001-190012.nc
20,CMIP,CCCma,CanESM5,historical,r1i1p1f1,Amon,rsdt,gn,/glade/collections/cmip/CMIP6/CMIP/CCCma/CanESM5/historical/r1i1p1f1/Amon/rsdt/gn/v20190429/rsdt/rsdt_Amon_CanESM5_historical_r1i1p1f1_gn_185001-201412.nc
21,CMIP,NASA-GISS,GISS-E2-1-G,piControl,r1i1p1f1,CFmon,cltisccp,gn,/glade/collections/cmip/CMIP6/CMIP/NASA-GISS/GISS-E2-1-G/piControl/r1i1p1f1/CFmon/cltisccp/gn/v20180824/cltisccp/cltisccp_CFmon_GISS-E2-1-G_piControl_r1i1p1f1_gn_440101-445012.nc
